IP address,Protocol version,User agent,Connected since,Services,Height,Hostname,City,Country code,Latitude,Longitude,Timezone,ASN,Organization name,Coordinates
"o4ly2f3srh6ysnavk2c72zbdu6tz4as7btkteakc3p7rtybj6pk2jgad.onion:8333",70016,"/Satoshi:23.0.0/","2022-10-29T03:01:19.000Z",1037,760762,,,,,,,"TOR","Tor network","0, 0"
"2ysgan6xdkotrchooip3ry6eags2rbphlgsmii4t3xs4v7gnwlbrj2ad.onion:8333",70016,"/Satoshi:23.0.0/","2022-10-28T19:54:52.000Z",1033,760762,,,,,,,"TOR","Tor network","0, 0"
"zwovgtl72z7gw6audffgy3o4j3l3ffr3azl5sc553k7qgdzjzess3byd.onion:8333",70016,"/Satoshi:23.0.0/","2022-10-28T23:16:39.000Z",1037,760762,,,,,,,"TOR","Tor network","0, 0"
"65.21.93.21:8333",70016,"/Satoshi:23.0.0/","2022-10-23T00:21:23.000Z",1033,760762,"static.21.93.21.65.clients.your-server.de","Helsinki","FI",60.1719,24.9347,"Europe/Helsinki","AS24940","Hetzner Online GmbH","60.1719, 24.9347"
"46.4.105.19:8333",70015,"/Satoshi:0.20.1/","2022-09-21T21:56:09.000Z",1033,760762,"cc.pob.lc",,"DE",51.2993,9.491,"Europe/Berlin","AS24940","Hetzner Online GmbH","51.2993, 9.491"
"167.71.73.244:8333",70015,"/Satoshi:0.20.1/","2022-10-29T03:09:23.000Z",1037,760761,"167.71.73.244","Amsterdam","NL",52.352,4.9392,"Europe/Amsterdam","AS14061","DIGITALOCEAN-ASN","52.352, 4.9392"
"186.31.109.28:8333",70016,"/Satoshi:22.0.0(IgniOS-Core-1)/","2022-10-28T16:47:23.000Z",1033,760762,"static-186-31-109-28.static.etb.net.co","Bogotá","CO",4.6089,-74.0943,"America/Bogota","AS19429","Colombia","4.6089, -74.0943"
"gfu6aj4shl35ieimrjhbj7mbpb7mbfqghvrqjnvsgggbnipqbw4gdhqd.onion:8333",70016,"/Satoshi:22.0.0/","2022-10-28T06:27:53.000Z",1037,760762,,,,,,,"TOR","Tor network","0, 0"
"zty3zqqhfwfff5jr5w2eigwmf7rvub4dedmowaxyz7khw4mm3a7ajjad.onion:8333",70016,"/Satoshi:23.0.0/","2022-10-28T23:16:55.000Z",1033,760762,,,,,,,"TOR","Tor network","0, 0"
"4otfjpjchujm55p5d7zrjj7gu5zfgrwbeugric5c4c6rfpn3p5jx5cqd.onion:8333",70016,"/Satoshi:22.0.0/","2022-10-29T00:06:40.000Z",1033,760762,,,,,,,"TOR","Tor network","0, 0"
"167.172.226.175:8333",70016,"/Satoshi:0.21.0/","2022-10-28T21:22:25.000Z",1037,760762,"167.172.226.175","Clifton","US",40.8364,-74.1403,"America/New_York","AS14061","DIGITALOCEAN-ASN","40.8364, -74.1403"
"hibgbt66hb4tvmhkmyzwlxirdmpkg2aa46xznnswwsuy3w4foitwedqd.onion:8333",70016,"/Satoshi:23.0.0/","2022-10-28T18:59:27.000Z",1037,760762,,,,,,,"TOR","Tor network","0, 0"
"109.236.81.124:8333",70015,"/Satoshi:0.19.0.1/","2022-10-28T21:46:57.000Z",1032,760762,"bh.pro","Naaldwijk","NL",51.9934,4.2158,"Europe/Amsterdam","AS49981","WorldStream B.V.","51.9934, 4.2158"
"sm7fpm3qksdk7umshrj77dztpbg5haqhl6hx7uabkfucosfjydltwiyd.onion:8333",70016,"/Satoshi:23.0.0/","2022-10-28T14:13:55.000Z",1037,760762,,,,,,,"TOR","Tor network","0, 0"
"47.109.21.215:8333",70016,"/Satoshi:22.0.0/","2022-10-27T21:13:30.000Z",1033,760762,"47.109.21.215",,"CN",34.68,113.5344,"Asia/Shanghai","AS37963","Hangzhou Alibaba Advertising Co.,Ltd.","34.68, 113.5344"
"3.91.173.166:8333",70016,"/Satoshi:22.0.0/","2022-10-27T13:23:45.000Z",1033,760762,"ec2-3-91-173-166.compute-1.amazonaws.com","Ashburn","US",39.0469,-77.4903,"America/New_York","AS14618","AMAZON-AES","39.0469, -77.4903"
"4jjd2smblyrlukhx7djfcjwklhrs37mkac25du2mlfmafgtvagjkesyd.onion:8333",70016,"/Satoshi:22.0.0(RoninDojo 1.14.1)/","2022-10-28T23:58:29.000Z",1033,760762,,,,,,,"TOR","Tor network","0, 0"
"cssusbltvosy7hhomxuhicmh5svw6e4z3eebgnyjcnslrloiy5m27pid.onion:8333",70016,"/Satoshi:23.0.0/","2022-10-28T11:19:14.000Z",1033,760762,,,,,,,"TOR","Tor network","0, 0"
"92.221.20.232:8333",70016,"/Satoshi:22.0.0/","2022-10-26T06:22:16.000Z",1033,760762,"232.92-221-20.customer.lyse.net","Stavanger","NO",58.9671,5.7614,"Europe/Oslo","AS29695","Altibox AS","58.9671, 5.7614"
"rhrohliyspn3o36yaetslwsytarhy74u5magxzvln2xbxz4gnzte2uyd.onion:8333",70016,"/Satoshi:23.0.0/","2022-10-29T02:11:40.000Z",1033,760762,,,,,,,"TOR","Tor network","0, 0"
